"_id","_labels","ROlle","Rolle","UNIQUE IMPORT ID","definition","humanname","info","unit","value","_start","_end","_type"
"24",":UNIQUE IMPORT LABEL:symbol","","","517","","","","","ρ_i",,,
"25",":UNIQUE IMPORT LABEL:symbol","","","520","","","","","γ",,,
"26",":UNIQUE IMPORT LABEL:symbol","","","529","","","","","ρ_e",,,
"27",":UNIQUE IMPORT LABEL:symbol","","","540","","","","","F_i",,,
"28",":UNIQUE IMPORT LABEL:symbol","","","543","","","","","r_i",,,
"29",":UNIQUE IMPORT LABEL:symbol","","","556","","","","","F_e",,,
"30",":UNIQUE IMPORT LABEL:symbol","","","560","","","","","r_e",,,
"31",":UNIQUE IMPORT LABEL:symbol","","","573","","","","","Q_u",,,
"32",":UNIQUE IMPORT LABEL:symbol","","","574","","","","","Q_ui",,,
"33",":UNIQUE IMPORT LABEL:symbol","","","575","","","","","Q_ue",,,
"34",":UNIQUE IMPORT LABEL:symbol","","","598","","","","","C_ar",,,
"35",":UNIQUE IMPORT LABEL:symbol","","","610","","","","","C_aa",,,
"36",":UNIQUE IMPORT LABEL:number","","","8","","","","","0,7",,,
"37",":UNIQUE IMPORT LABEL:number","","","11","","","","","2",,,
"38",":UNIQUE IMPORT LABEL:number","","","12","","","","","3",,,
"39",":UNIQUE IMPORT LABEL:number","","","16","","","","","1,8",,,
"40",":UNIQUE IMPORT LABEL:number","","","24","","","","","3,647",,,
"41",":UNIQUE IMPORT LABEL:number","","","30","","","","","1,4",,,
"42",":UNIQUE IMPORT LABEL:number","","","110","","","","","10",,,
"43",":UNIQUE IMPORT LABEL:number","","","149","","","","","7",,,
"44",":UNIQUE IMPORT LABEL:number","","","150","","","","","9",,,
"45",":UNIQUE IMPORT LABEL:number","","","153","","","","","4",,,
"46",":UNIQUE IMPORT LABEL:number","","","157","","","","","29",,,
"47",":UNIQUE IMPORT LABEL:number","","","158","","","","","27",,,
"48",":UNIQUE IMPORT LABEL:number","","","240","","","","","45000",,,
"49",":UNIQUE IMPORT LABEL:number","","","242","","","","","0,83",,,
"50",":UNIQUE IMPORT LABEL:number","","","246","","","","","0,5",,,
"51",":UNIQUE IMPORT LABEL:number","","","249","","","","","1000",,,
"52",":UNIQUE IMPORT LABEL:number","","","255","","","","","4500",,,
"53",":UNIQUE IMPORT LABEL:number","","","266","","","","","1,3",,,
"54",":UNIQUE IMPORT LABEL:number","","","270","","","","","0,1",,,
"55",":UNIQUE IMPORT LABEL:number","","","271","","","","","1",,,
"56",":UNIQUE IMPORT LABEL:number","","","272","","","","","2,567",,,
"57",":UNIQUE IMPORT LABEL:number","","","273","","","","","2,264",,,
"58",":UNIQUE IMPORT LABEL:number","","","274","","","","","0,054",,,
"59",":UNIQUE IMPORT LABEL:number","","","288","","","","","9,3",,,
"60",":UNIQUE IMPORT LABEL:number","","","291","","","","","0,4",,,
"61",":UNIQUE IMPORT LABEL:number","","","297","","","","","1,998",,,
"62",":UNIQUE IMPORT LABEL:number","","","298","","","","","0,190",,,
"63",":UNIQUE IMPORT LABEL:number","","","316","","","","","0,071",,,
"64",":UNIQUE IMPORT LABEL:number","","","334","","","","","1,585",,,
"65",":UNIQUE IMPORT LABEL:number","","","335","","","","","1,399",,,
"66",":UNIQUE IMPORT LABEL:number","","","344","","","","","9,185",,,
"67",":UNIQUE IMPORT LABEL:number","","","352","","","","","1,234",,,
"68",":UNIQUE IMPORT LABEL:number","","","441","","","","","2,5",,,
"69",":UNIQUE IMPORT LABEL:number","","","489","","","","","32",,,
"70",":UNIQUE IMPORT LABEL:number","","","510","","","","","0",,,
"71",":UNIQUE IMPORT LABEL:number","","","599","","","","","2,37",,,
"72",":UNIQUE IMPORT LABEL:number","","","601","","","","","0,333",,,
"73",":UNIQUE IMPORT LABEL:number","","","611","","","","","1,24",,,
"74",":UNIQUE IMPORT LABEL:number","","","623","","","","","1,91",,,
"75",":UNIQUE IMPORT LABEL:number","","","636","","","","","25.4",,,
"76",":UNIQUE IMPORT LABEL:number","","","641","","","","","90",,,
"77",":UNIQUE IMPORT LABEL:number","","","652","","","","","0",,,
"78",":UNIQUE IMPORT LABEL:formula","","","0","","","Radialkugellager","","for-1",,,
"79",":UNIQUE IMPORT LABEL:formula","","","23","","","Radialkugellager","","for-2",,,
"80",":UNIQUE IMPORT LABEL:formula","","","38","","","Radialkugellager","","for-3",,,
"81",":UNIQUE IMPORT LABEL:formula","","","48","","","Radialkugellager","","for-4",,,
"82",":UNIQUE IMPORT LABEL:formula","","","53","","","Axialkugellager","","for-5",,,
"83",":UNIQUE IMPORT LABEL:formula","","","62","","","Axialkugellager","","for-6",,,
"84",":UNIQUE IMPORT LABEL:formula","","","75","","","Axialkugellager","","for-7",,,
"85",":UNIQUE IMPORT LABEL:formula","","","84","","","Axialkugellager","","for-8",,,
"86",":UNIQUE IMPORT LABEL:formula","","","98","","","Axialkugellager","","for-9",,,
"87",":UNIQUE IMPORT LABEL:formula","","","132","","","Axialkugellager","","for-10",,,
"88",":UNIQUE IMPORT LABEL:formula","","","138","","","Axialkugellager","","for-11",,,
"89",":UNIQUE IMPORT LABEL:formula","","","140","","","Axialkugellager","","for-12",,,
"90",":UNIQUE IMPORT LABEL:formula","","","144","","","Radialrollenlager","","for-13",,,
"91",":UNIQUE IMPORT LABEL:formula","","","166","","","Radialrollenlager","","for-14",,,
"92",":UNIQUE IMPORT LABEL:formula","","","171","","","Radialrollenlager","","for-15",,,
"93",":UNIQUE IMPORT LABEL:formula","","","173","","","Radialrollenlager","","for-16",,,
"94",":UNIQUE IMPORT LABEL:formula","","","178","","","Axialrollenlager","","for-17",,,
"95",":UNIQUE IMPORT LABEL:formula","","","190","","","Axialrollenlager","","for-18",,,
"96",":UNIQUE IMPORT LABEL:formula","","","206","","","Axialrollenlager","","for-19",,,
"97",":UNIQUE IMPORT LABEL:formula","","","207","","","Axialrollenlager","","for-20",,,
"98",":UNIQUE IMPORT LABEL:formula","","","212","","","Axialrollenlager","","for-21",,,
"99",":UNIQUE IMPORT LABEL:formula","","","214","","","Axialrollenlager","","for-22",,,
"100",":UNIQUE IMPORT LABEL:formula","","","219","","","","","for-23",,,
"101",":UNIQUE IMPORT LABEL:formula","","","226","","","","","for-24",,,
"102",":UNIQUE IMPORT LABEL:formula","","","229","","","","","for-25",,,
"103",":UNIQUE IMPORT LABEL:formula","","","231","","","","","for-26",,,
"104",":UNIQUE IMPORT LABEL:formula","","","233","","","","","for-27",,,
"105",":UNIQUE IMPORT LABEL:formula","","","239","","","","","for-28",,,
"106",":UNIQUE IMPORT LABEL:formula","","","254","","","","","for-29",,,
"107",":UNIQUE IMPORT LABEL:formula","","","264","","","","","for-30",,,
"108",":UNIQUE IMPORT LABEL:formula","","","269","","","","","for-31",,,
"109",":UNIQUE IMPORT LABEL:formula","","","296","","","","","for-32",,,
"110",":UNIQUE IMPORT LABEL:formula","","","315","","","","","for-33",,,
"111",":UNIQUE IMPORT LABEL:formula","","","333","","","","","for-34",,,
"112",":UNIQUE IMPORT LABEL:formula","","","351","","","","","for-35",,,
"113",":UNIQUE IMPORT LABEL:formula","","","367","","","","","for-36",,,
"114",":UNIQUE IMPORT LABEL:formula","","","382","","","","","for-37",,,
"115",":UNIQUE IMPORT LABEL:formula","","","400","","","","","for-38",,,
"116",":UNIQUE IMPORT LABEL:formula","","","418","","","","","for-39",,,
"117",":UNIQUE IMPORT LABEL:formula","","","436","","","","","for-40",,,
"118",":UNIQUE IMPORT LABEL:formula","","","453","","","","","for-41",,,
"119",":UNIQUE IMPORT LABEL:formula","","","469","","","","","for-42",,,
"120",":UNIQUE IMPORT LABEL:formula","","","485","","","","","for-b.1",,,
"121",":UNIQUE IMPORT LABEL:formula","","","497","","","","","for-b.2",,,
"122",":UNIQUE IMPORT LABEL:formula","","","512","","","","","for-b.3",,,
"123",":UNIQUE IMPORT LABEL:formula","","","514","","","","","for-b.4",,,
"124",":UNIQUE IMPORT LABEL:formula","","","516","","","","","for-b.5",,,
"125",":UNIQUE IMPORT LABEL:formula","","","528","","","","","for-b.6",,,
"126",":UNIQUE IMPORT LABEL:formula","","","539","","","","","for-b.7",,,
"127",":UNIQUE IMPORT LABEL:formula","","","555","","","","","for-b.8",,,
"128",":UNIQUE IMPORT LABEL:formula","","","572","","","","","for-b.9",,,
"129",":UNIQUE IMPORT LABEL:formula","","","579","","","","","for-c.1",,,
"130",":UNIQUE IMPORT LABEL:formula","","","586","","","","","for-c.2",,,
"131",":UNIQUE IMPORT LABEL:formula","","","597","","","","","for-c.3",,,
"132",":UNIQUE IMPORT LABEL:formula","","","609","","","","","for-c.4",,,
"133",":UNIQUE IMPORT LABEL:formula","","","614","","","","","for-c.5",,,
"134",":UNIQUE IMPORT LABEL:formula","","","618","","","","","for-c.6",,,
"135",":UNIQUE IMPORT LABEL:formula","","","622","","","","","for-c.7",,,
"136",":UNIQUE IMPORT LABEL:formula","","","632","","","","","for-c.8",,,
"137",":UNIQUE IMPORT LABEL:norm","","","634","","","","","ISO 281",,,
"138",":UNIQUE IMPORT LABEL:operator","","","6","","","","","cos",,,
"139",":UNIQUE IMPORT LABEL:operator","","","7","","","","","×",,,
"140",":UNIQUE IMPORT LABEL:operator","","","9","","","","","^",,,
"141",":UNIQUE IMPORT LABEL:operator","","","13","","","","","/",,,
"142",":UNIQUE IMPORT LABEL:operator","","","14","","","","","^",,,
"143",":UNIQUE IMPORT LABEL:operator","","","17","","","","","^",,,
"144",":UNIQUE IMPORT LABEL:operator","","","18","","","","","×",,,
"145",":UNIQUE IMPORT LABEL:operator","","","19","","","","","×",,,
"146",":UNIQUE IMPORT LABEL:operator","","","20","","","","","×",,,
"147",":UNIQUE IMPORT LABEL:operator","","","21","","","","","×",,,
"148",":UNIQUE IMPORT LABEL:operator","","","22","","","","","=",,,
"149",":UNIQUE IMPORT LABEL:operator","","","25","","","","","cos",,,
"150",":UNIQUE IMPORT LABEL:operator","","","26","","","","","×",,,
"151",":UNIQUE IMPORT LABEL:operator","","","27","","","","","^",,,
"152",":UNIQUE IMPORT LABEL:operator","","","28","","","","","/",,,
"153",":UNIQUE IMPORT LABEL:operator","","","29","","","","","^",,,
"154",":UNIQUE IMPORT LABEL:operator","","","31","","","","","^",,,
"155",":UNIQUE IMPORT LABEL:operator","","","32","","","","","×",,,
"156",":UNIQUE IMPORT LABEL:operator","","","33","","","","","×",,,
"157",":UNIQUE IMPORT LABEL:operator","","","34","","","","","×",,,
"158",":UNIQUE IMPORT LABEL:operator","","","35","","","","","×",,,
"159",":UNIQUE IMPORT LABEL:operator","","","36","","","","","×",,,
"160",":UNIQUE IMPORT LABEL:operator","","","37","","","","","=",,,
"161",":UNIQUE IMPORT LABEL:operator","","","42","","","","","×",,,
"162",":UNIQUE IMPORT LABEL:operator","","","45","","","","","×",,,
"163",":UNIQUE IMPORT LABEL:operator","","","46","","","","","+",,,
"164",":UNIQUE IMPORT LABEL:operator","","","47","","","","","=",,,
"165",":UNIQUE IMPORT LABEL:operator","","","50","","","","","/",,,
"166",":UNIQUE IMPORT LABEL:operator","","","51","","","","","^",,,
"167",":UNIQUE IMPORT LABEL:operator","","","52","","","","","=",,,
"168",":UNIQUE IMPORT LABEL:operator","","","55","","","","","/",,,
"169",":UNIQUE IMPORT LABEL:operator","","","56","","","","","^",,,
"170",":UNIQUE IMPORT LABEL:operator","","","57","","","","","^",,,
"171",":UNIQUE IMPORT LABEL:operator","","","58","","","","","×",,,
"172",":UNIQUE IMPORT LABEL:operator","","","59","","","","","×",,,
"173",":UNIQUE IMPORT LABEL:operator","","","60","","","","","×",,,
"174",":UNIQUE IMPORT LABEL:operator","","","61","","","","","=",,,
"175",":UNIQUE IMPORT LABEL:operator","","","63","","","","","cos",,,
"176",":UNIQUE IMPORT LABEL:operator","","","64","","","","","^",,,
"177",":UNIQUE IMPORT LABEL:operator","","","65","","","","","tan",,,
"178",":UNIQUE IMPORT LABEL:operator","","","66","","","","","/",,,
"179",":UNIQUE IMPORT LABEL:operator","","","67","","","","","^",,,
"180",":UNIQUE IMPORT LABEL:operator","","","68","","","","","^",,,
"181",":UNIQUE IMPORT LABEL:operator","","","69","","","","","×",,,
"182",":UNIQUE IMPORT LABEL:operator","","","70","","","","","×",,,
"183",":UNIQUE IMPORT LABEL:operator","","","71","","","","","×",,,
"184",":UNIQUE IMPORT LABEL:operator","","","72","","","","","×",,,
"185",":UNIQUE IMPORT LABEL:operator","","","73","","","","","×",,,
"186",":UNIQUE IMPORT LABEL:operator","","","74","","","","","=",,,
"187",":UNIQUE IMPORT LABEL:operator","","","76","","","","","/",,,
"188",":UNIQUE IMPORT LABEL:operator","","","77","","","","","^",,,
"189",":UNIQUE IMPORT LABEL:operator","","","78","","","","","^",,,
"190",":UNIQUE IMPORT LABEL:operator","","","79","","","","","×",,,
"191",":UNIQUE IMPORT LABEL:operator","","","80","","","","","×",,,
"192",":UNIQUE IMPORT LABEL:operator","","","81","","","","","×",,,
"193",":UNIQUE IMPORT LABEL:operator","","","82","","","","","×",,,
"194",":UNIQUE IMPORT LABEL:operator","","","83","","","","","=",,,
"195",":UNIQUE IMPORT LABEL:operator","","","85","","","","","cos",,,
"196",":UNIQUE IMPORT LABEL:operator","","","86","","","","","^",,,
"197",":UNIQUE IMPORT LABEL:operator","","","87","","","","","tan",,,
"198",":UNIQUE IMPORT LABEL:operator","","","88","","","","","/",,,
"199",":UNIQUE IMPORT LABEL:operator","","","89","","","","","^",,,
"200",":UNIQUE IMPORT LABEL:operator","","","90","","","","","^",,,
"201",":UNIQUE IMPORT LABEL:operator","","","91","","","","","×",,,
"202",":UNIQUE IMPORT LABEL:operator","","","92","","","","","×",,,
"203",":UNIQUE IMPORT LABEL:operator","","","93","","","","","×",,,
"204",":UNIQUE IMPORT LABEL:operator","","","94","","","","","×",,,
"205",":UNIQUE IMPORT LABEL:operator","","","95","","","","","×",,,
"206",":UNIQUE IMPORT LABEL:operator","","","96","","","","","×",,,
"207",":UNIQUE IMPORT LABEL:operator","","","97","","","","","=",,,
"208",":UNIQUE IMPORT LABEL:operator","","","101","","","","",".",,,
"209",":UNIQUE IMPORT LABEL:operator","","","102","","","","",".",,,
"210",":UNIQUE IMPORT LABEL:operator","","","103","","","","",".",,,
"211",":UNIQUE IMPORT LABEL:operator","","","105","","","","","+",,,
"212",":UNIQUE IMPORT LABEL:operator","","","106","","","","","+",,,
"213",":UNIQUE IMPORT LABEL:operator","","","107","","","","","+",,,
"214",":UNIQUE IMPORT LABEL:operator","","","109","","","","","/",,,
"215",":UNIQUE IMPORT LABEL:operator","","","111","","","","","/",,,
"216",":UNIQUE IMPORT LABEL:operator","","","112","","","","","^",,,
"217",":UNIQUE IMPORT LABEL:operator","","","114","","","","","/",,,
"218",":UNIQUE IMPORT LABEL:operator","","","115","","","","","/",,,
"219",":UNIQUE IMPORT LABEL:operator","","","116","","","","","^",,,
"220",":UNIQUE IMPORT LABEL:operator","","","117","","","","",".",,,
"221",":UNIQUE IMPORT LABEL:operator","","","118","","","","",".",,,
"222",":UNIQUE IMPORT LABEL:operator","","","119","","","","",".",,,
"223",":UNIQUE IMPORT LABEL:operator","","","121","","","","","/",,,
"224",":UNIQUE IMPORT LABEL:operator","","","122","","","","","/",,,
"225",":UNIQUE IMPORT LABEL:operator","","","123","","","","","^",,,
"226",":UNIQUE IMPORT LABEL:operator","","","124","","","","","+",,,
"227",":UNIQUE IMPORT LABEL:operator","","","125","","","","","+",,,
"228",":UNIQUE IMPORT LABEL:operator","","","126","","","","","+",,,
"229",":UNIQUE IMPORT LABEL:operator","","","127","","","","","‐",,,
"230",":UNIQUE IMPORT LABEL:operator","","","128","","","","","/",,,
"231",":UNIQUE IMPORT LABEL:operator","","","129","","","","","^",,,
"232",":UNIQUE IMPORT LABEL:operator","","","130","","","","","×",,,
"233",":UNIQUE IMPORT LABEL:operator","","","131","","","","","=",,,
"234",":UNIQUE IMPORT LABEL:operator","","","134","","","","","×",,,
"235",":UNIQUE IMPORT LABEL:operator","","","135","","","","","×",,,
"236",":UNIQUE IMPORT LABEL:operator","","","136","","","","","+",,,
"237",":UNIQUE IMPORT LABEL:operator","","","137","","","","","=",,,
"238",":UNIQUE IMPORT LABEL:operator","","","139","","","","","=",,,
"239",":UNIQUE IMPORT LABEL:operator","","","141","","","","","/",,,
"240",":UNIQUE IMPORT LABEL:operator","","","142","","","","","^",,,
"241",":UNIQUE IMPORT LABEL:operator","","","143","","","","","=",,,
"242",":UNIQUE IMPORT LABEL:operator","","","146","","","","","cos",,,
"243",":UNIQUE IMPORT LABEL:operator","","","147","","","","","×",,,
"244",":UNIQUE IMPORT LABEL:operator","","","148","","","","","×",,,
"245",":UNIQUE IMPORT LABEL:operator","","","151","","","","","/",,,
"246",":UNIQUE IMPORT LABEL:operator","","","152","","","","","^",,,
"247",":UNIQUE IMPORT LABEL:operator","","","154","","","","","/",,,
"248",":UNIQUE IMPORT LABEL:operator","","","155","","","","","^",,,
"249",":UNIQUE IMPORT LABEL:operator","","","159","","","","","/",,,
"250",":UNIQUE IMPORT LABEL:operator","","","160","","","","","^",,,
"251",":UNIQUE IMPORT LABEL:operator","","","161","","","","","×",,,
"252",":UNIQUE IMPORT LABEL:operator","","","162","","","","","×",,,
"253",":UNIQUE IMPORT LABEL:operator","","","163","","","","","×",,,
"254",":UNIQUE IMPORT LABEL:operator","","","164","","","","","×",,,
"255",":UNIQUE IMPORT LABEL:operator","","","165","","","","","=",,,
"256",":UNIQUE IMPORT LABEL:operator","","","167","","","","","×",,,
"257",":UNIQUE IMPORT LABEL:operator","","","168","","","","","×",,,
"258",":UNIQUE IMPORT LABEL:operator","","","169","","","","","+",,,
"259",":UNIQUE IMPORT LABEL:operator","","","170","","","","","=",,,
"260",":UNIQUE IMPORT LABEL:operator","","","172","","","","","=",,,
"261",":UNIQUE IMPORT LABEL:operator","","","174","","","","","/",,,
"262",":UNIQUE IMPORT LABEL:operator","","","175","","","","","/",,,
"263",":UNIQUE IMPORT LABEL:operator","","","176","","","","","^",,,
"264",":UNIQUE IMPORT LABEL:operator","","","177","","","","","=",,,
"265",":UNIQUE IMPORT LABEL:operator","","","179","","","","","/",,,
"266",":UNIQUE IMPORT LABEL:operator","","","180","","","","","^",,,
"267",":UNIQUE IMPORT LABEL:operator","","","181","","","","","/",,,
"268",":UNIQUE IMPORT LABEL:operator","","","182","","","","","^",,,
"269",":UNIQUE IMPORT LABEL:operator","","","183","","","","","/",,,
"270",":UNIQUE IMPORT LABEL:operator","","","184","","","","","^",,,
"271",":UNIQUE IMPORT LABEL:operator","","","185","","","","","×",,,
"272",":UNIQUE IMPORT LABEL:operator","","","186","","","","","×",,,
"273",":UNIQUE IMPORT LABEL:operator","","","187","","","","","×",,,
"274",":UNIQUE IMPORT LABEL:operator","","","188","","","","","×",,,
"275",":UNIQUE IMPORT LABEL:operator","","","189","","","","","=",,,
"276",":UNIQUE IMPORT LABEL:operator","","","191","","","","","cos",,,
"277",":UNIQUE IMPORT LABEL:operator","","","192","","","","","×",,,
"278",":UNIQUE IMPORT LABEL:operator","","","193","","","","","/",,,
"279",":UNIQUE IMPORT LABEL:operator","","","194","","","","","^",,,
"280",":UNIQUE IMPORT LABEL:operator","","","195","","","","","tan",,,
"281",":UNIQUE IMPORT LABEL:operator","","","196","","","","","/",,,
"282",":UNIQUE IMPORT LABEL:operator","","","197","","","","","^",,,
"283",":UNIQUE IMPORT LABEL:operator","","","198","","","","","/",,,
"284",":UNIQUE IMPORT LABEL:operator","","","199","","","","","^",,,
"285",":UNIQUE IMPORT LABEL:operator","","","200","","","","","×",,,
"286",":UNIQUE IMPORT LABEL:operator","","","201","","","","","×",,,
"287",":UNIQUE IMPORT LABEL:operator","","","202","","","","","×",,,
"288",":UNIQUE IMPORT LABEL:operator","","","203","","","","","×",,,
"289",":UNIQUE IMPORT LABEL:operator","","","204","","","","","×",,,
"290",":UNIQUE IMPORT LABEL:operator","","","205","","","","","=",,,
"291",":UNIQUE IMPORT LABEL:operator","","","208","","","","","×",,,
"292",":UNIQUE IMPORT LABEL:operator","","","209","","","","","×",,,
"293",":UNIQUE IMPORT LABEL:operator","","","210","","","","","+",,,
"294",":UNIQUE IMPORT LABEL:operator","","","211","","","","","=",,,
"295",":UNIQUE IMPORT LABEL:operator","","","213","","","","","=",,,
"296",":UNIQUE IMPORT LABEL:operator","","","215","","","","","/",,,
"297",":UNIQUE IMPORT LABEL:operator","","","216","","","","","/",,,
"298",":UNIQUE IMPORT LABEL:operator","","","217","","","","","^",,,
"299",":UNIQUE IMPORT LABEL:operator","","","218","","","","","=",,,
"300",":UNIQUE IMPORT LABEL:operator","","","223","","","","","×",,,
"301",":UNIQUE IMPORT LABEL:operator","","","224","","","","","×",,,
"302",":UNIQUE IMPORT LABEL:operator","","","225","","","","","=",,,
"303",":UNIQUE IMPORT LABEL:operator","","","228","","","","","=",,,
"304",":UNIQUE IMPORT LABEL:operator","","","230","","","","","=",,,
"305",":UNIQUE IMPORT LABEL:operator","","","232","","","","","=",,,
"306",":UNIQUE IMPORT LABEL:operator","","","237","","","","","/",,,
"307",":UNIQUE IMPORT LABEL:operator","","","238","","","","","=",,,
"308",":UNIQUE IMPORT LABEL:operator","","","243","","","","","−",,,
"309",":UNIQUE IMPORT LABEL:operator","","","244","","","","","^",,,
"310",":UNIQUE IMPORT LABEL:operator","","","247","","","","","−",,,
"311",":UNIQUE IMPORT LABEL:operator","","","248","","","","","^",,,
"312",":UNIQUE IMPORT LABEL:operator","","","250","","","","","<",,,
"313",":UNIQUE IMPORT LABEL:operator","","","251","","","","","×",,,
"314",":UNIQUE IMPORT LABEL:operator","","","252","","","","","×",,,
"315",":UNIQUE IMPORT LABEL:operator","","","253","","","","","=",,,
"316",":UNIQUE IMPORT LABEL:operator","","","256","","","","","−",,,
"317",":UNIQUE IMPORT LABEL:operator","","","257","","","","","^",,,
"318",":UNIQUE IMPORT LABEL:operator","","","258","","","","","−",,,
"319",":UNIQUE IMPORT LABEL:operator","","","259","","","","","^",,,
"320",":UNIQUE IMPORT LABEL:operator","","","260","","","","","≥",,,
"321",":UNIQUE IMPORT LABEL:operator","","","261","","","","","×",,,
"322",":UNIQUE IMPORT LABEL:operator","","","262","","","","","×",,,
"323",":UNIQUE IMPORT LABEL:operator","","","263","","","","","=",,,
"324",":UNIQUE IMPORT LABEL:operator","","","267","","","","","^",,,
"325",":UNIQUE IMPORT LABEL:operator","","","268","","","","","≈",,,
"326",":UNIQUE IMPORT LABEL:operator","","","275","","","","","^",,,
"327",":UNIQUE IMPORT LABEL:operator","","","276","","","","","/",,,
"328",":UNIQUE IMPORT LABEL:operator","","","277","","","","","−",,,
"329",":UNIQUE IMPORT LABEL:operator","","","278","","","","","^",,,
"330",":UNIQUE IMPORT LABEL:operator","","","281","","","","","×",,,
"331",":UNIQUE IMPORT LABEL:operator","","","283","","","","","/",,,
"332",":UNIQUE IMPORT LABEL:operator","","","284","","","","","/",,,
"333",":UNIQUE IMPORT LABEL:operator","","","285","","","","","^",,,
"334",":UNIQUE IMPORT LABEL:operator","","","286","","","","","×",,,
"335",":UNIQUE IMPORT LABEL:operator","","","287","","","","","−",,,
"336",":UNIQUE IMPORT LABEL:operator","","","289","","","","","‐",,,
"337",":UNIQUE IMPORT LABEL:operator","","","290","","","","","^",,,
"338",":UNIQUE IMPORT LABEL:operator","","","292","","","","","<",,,
"339",":UNIQUE IMPORT LABEL:operator","","","293","","","","","≤",,,
"340",":UNIQUE IMPORT LABEL:operator","","","294","","","","","×",,,
"341",":UNIQUE IMPORT LABEL:operator","","","295","","","","","=",,,
"342",":UNIQUE IMPORT LABEL:operator","","","299","","","","","^",,,
"343",":UNIQUE IMPORT LABEL:operator","","","300","","","","","/",,,
"344",":UNIQUE IMPORT LABEL:operator","","","301","","","","","−",,,
"345",":UNIQUE IMPORT LABEL:operator","","","302","","","","","^",,,
"346",":UNIQUE IMPORT LABEL:operator","","","303","","","","","×",,,
"347",":UNIQUE IMPORT LABEL:operator","","","304","","","","","/",,,
"348",":UNIQUE IMPORT LABEL:operator","","","305","","","","","/",,,
"349",":UNIQUE IMPORT LABEL:operator","","","306","","","","","^",,,
